index,user_id,item_id,clicked,ps
0,1844,754,1.0,
1,1768,20,1.0,
2,1148,134,1.0,
3,542,717,0.0,
4,1127,383,1.0,
5,542,361,0.0,
6,542,315,0.0,
7,542,359,0.0,
8,542,330,0.0,
9,542,338,0.0,
10,542,317,0.0,
11,542,152,0.0,
12,1172,33,1.0,
13,542,559,0.0,
14,929,753,1.0,
15,3393,576,0.0,
16,3393,380,0.0,
17,1881,431,1.0,
18,612,437,1.0,
19,1673,44,1.0,
20,542,91,0.0,
21,612,754,1.0,
22,542,91,1.0,
23,2002,126,1.0,
24,3393,20,0.0,
25,3393,497,0.0,
26,1911,576,0.0,
27,3393,523,0.0,
28,3393,523,1.0,
29,1611,765,1.0,
30,2327,179,1.0,
31,1226,291,1.0,
32,1911,269,1.0,
33,1172,88,1.0,
34,1172,88,1.0,
35,3169,102,1.0,
36,1417,459,0.0,
37,1417,659,0.0,
38,1911,269,1.0,
39,1417,443,0.0,
40,1417,443,1.0,
41,2155,187,1.0,
42,1611,765,1.0,
43,1881,431,1.0,
44,3169,380,1.0,
45,1417,709,1.0,
46,3169,102,1.0,
47,3169,102,1.0,
48,99,576,0.0,
49,2459,707,0.0,
50,99,254,0.0,
51,1417,217,1.0,
52,99,254,1.0,
53,2459,405,1.0,
54,99,91,0.0,
55,3169,121,1.0,
56,99,168,0.0,
57,99,123,0.0,
58,99,89,0.0,
59,73,20,1.0,
60,99,27,0.0,
61,99,27,0.0,
62,99,27,1.0,
63,3169,121,1.0,
64,2511,43,1.0,
65,187,773,1.0,
66,3169,320,1.0,
67,99,564,0.0,
68,99,14,0.0,
69,1043,168,1.0,
70,1043,168,1.0,
71,99,14,1.0,
72,187,773,0.0,
73,847,214,0.0,
74,187,494,0.0,
75,2535,467,1.0,
76,3181,777,0.0,
77,3181,777,1.0,
78,2559,35,1.0,
79,1581,254,0.0,
80,60,464,1.0,
81,1043,149,1.0,
82,1043,149,1.0,
83,3181,123,1.0,
84,2155,245,1.0,
85,1581,306,1.0,
86,2559,230,1.0,
87,176,753,1.0,
88,1473,245,1.0,
89,2535,133,1.0,
90,3169,121,1.0,
91,847,214,1.0,
92,3169,564,1.0,
93,1357,509,1.0,
94,3169,102,1.0,
95,2535,405,1.0,
96,1473,16,1.0,
97,3169,380,1.0,
98,3325,321,1.0,
99,3169,121,1.0,
100,1473,84,1.0,
101,2225,33,1.0,
102,1709,379,1.0,
103,1473,742,1.0,
104,2535,133,1.0,
105,2495,102,1.0,
106,2225,33,0.0,
107,1391,66,1.0,
108,3169,121,1.0,
109,2225,33,1.0,
110,1473,212,1.0,
111,3169,215,1.0,
112,1473,83,1.0,
113,1269,376,1.0,
114,20,510,1.0,
115,20,62,1.0,
116,1248,517,1.0,
117,1269,306,1.0,
118,2327,179,1.0,
119,3296,429,1.0,
120,2013,754,1.0,
121,3296,33,1.0,
122,1035,304,1.0,
123,847,214,1.0,
124,847,214,1.0,
125,847,214,1.0,
126,847,214,0.0,
127,2172,450,0.0,
128,847,214,0.0,
129,847,214,1.0,
130,2172,126,1.0,
131,2030,19,1.0,
132,2172,380,1.0,
133,2512,215,1.0,
134,320,60,1.0,
135,2158,587,1.0,
136,1394,254,1.0,
137,656,43,1.0,
138,656,754,1.0,
139,2158,15,1.0,
140,1302,321,1.0,
141,656,29,1.0,
142,1394,405,1.0,
143,2121,46,1.0,
144,443,31,1.0,
145,2877,468,1.0,
146,2540,132,1.0,
147,2337,36,0.0,
148,1429,121,0.0,
149,2540,132,0.0,
150,2337,42,0.0,
151,1394,137,1.0,
152,1254,20,1.0,
153,1771,502,1.0,
154,2337,42,0.0,
155,656,89,1.0,
156,2790,101,1.0,
157,2540,132,1.0,
158,2337,54,0.0,
159,2121,46,1.0,
160,2015,467,1.0,
161,1429,304,1.0,
162,2015,291,1.0,
163,1881,431,1.0,
164,3017,483,1.0,
165,2015,381,1.0,
166,879,304,1.0,
167,1427,301,1.0,
168,656,501,1.0,
169,2330,153,1.0,
170,2790,101,1.0,
171,601,123,0.0,
172,601,123,1.0,
173,1427,301,1.0,
174,3433,33,1.0,
175,2337,36,0.0,
176,2158,587,1.0,
177,1427,576,1.0,
178,2158,587,1.0,
179,656,465,1.0,
180,879,304,1.0,
181,2337,36,1.0,
182,2158,587,1.0,
183,2158,587,1.0,
184,1429,304,1.0,
185,1568,67,1.0,
186,1568,19,1.0,
187,991,89,1.0,
188,2337,42,1.0,
189,2158,587,1.0,
190,1831,297,1.0,
191,445,332,1.0,
192,383,63,1.0,
193,656,143,1.0,
194,1885,374,1.0,
195,1427,576,1.0,
196,598,245,0.0,
197,598,245,1.0,
198,1114,376,0.0,
199,900,428,1.0,
200,1114,376,1.0,
201,1321,576,0.0,
202,1321,576,1.0,
203,1335,15,1.0,
204,741,112,0.0,
205,3312,399,1.0,
206,741,395,0.0,
207,741,475,1.0,
208,828,576,1.0,
209,758,120,1.0,
210,758,141,0.0,
211,236,208,1.0,
212,2089,121,1.0,
213,2744,43,1.0,
214,1489,360,1.0,
215,2827,493,1.0,
216,3341,46,1.0,
217,236,528,1.0,
218,2089,123,1.0,
219,1682,91,1.0,
220,3312,296,1.0,
221,236,128,1.0,
222,3011,102,0.0,
223,3011,102,1.0,
224,3011,102,0.0,
225,2999,753,1.0,
226,2999,753,1.0,
227,2999,31,1.0,
228,2399,128,1.0,
229,634,62,1.0,
230,1304,651,1.0,
231,2647,70,1.0,
232,2215,502,1.0,
233,634,62,1.0,
234,2294,32,1.0,
235,3260,32,0.0,
236,3260,385,0.0,
237,1577,493,1.0,
238,721,185,1.0,
239,3260,64,0.0,
240,2760,109,1.0,
241,3312,297,1.0,
242,3260,32,0.0,
243,3260,135,0.0,
244,3260,32,1.0,
245,2366,17,1.0,
246,2617,121,1.0,
247,3148,294,1.0,
248,2147,13,0.0,
249,1577,576,1.0,
250,2147,773,1.0,
251,3312,29,1.0,
252,2646,245,1.0,
253,145,254,1.0,
254,1091,564,1.0,
255,2290,685,1.0,
256,2290,685,0.0,
257,212,586,1.0,
258,418,41,1.0,
259,76,254,1.0,
260,1904,43,1.0,
261,1004,254,1.0,
262,418,61,1.0,
263,1682,525,1.0,
264,206,467,1.0,
265,418,88,1.0,
266,335,530,1.0,
267,1175,102,1.0,
268,23,121,1.0,
269,2802,88,1.0,
270,3080,91,1.0,
271,1004,91,1.0,
272,1175,18,1.0,
273,2925,583,1.0,
274,2935,508,1.0,
275,3208,217,1.0,
276,1904,186,1.0,
277,3208,217,1.0,
278,718,121,1.0,
279,3080,91,1.0,
280,3080,91,1.0,
281,1904,43,0.0,
282,2935,428,1.0,
283,1555,254,0.0,
284,2935,41,1.0,
285,1555,254,0.0,
286,1555,254,0.0,
287,2904,773,1.0,
288,583,515,0.0,
289,2049,64,1.0,
290,583,515,1.0,
291,1555,22,0.0,
292,2237,254,1.0,
293,1612,187,1.0,
294,1555,22,0.0,
295,2904,753,1.0,
296,2904,135,1.0,
297,3080,323,0.0,
298,1175,102,1.0,
299,3080,323,1.0,
300,3208,329,1.0,
301,1555,661,0.0,
302,1555,254,0.0,
303,1555,254,0.0,
304,1555,254,1.0,
305,2638,137,1.0,
306,3080,478,1.0,
307,3440,31,1.0,
308,1378,652,1.0,
309,3080,698,0.0,
310,522,33,1.0,
311,3080,698,1.0,
312,1183,721,1.0,
313,1175,447,1.0,
314,2175,37,1.0,
315,2237,22,0.0,
316,2237,22,0.0,
317,1366,37,1.0,
318,623,215,0.0,
319,623,215,1.0,
320,32,128,1.0,
321,32,251,1.0,
322,3208,581,1.0,
323,3208,581,0.0,
324,3208,581,1.0,
325,2870,576,1.0,
326,1325,61,1.0,
327,1325,61,1.0,
328,1875,246,0.0,
329,3438,433,1.0,
330,1875,148,0.0,
331,3208,329,1.0,
332,2739,242,1.0,
333,2158,587,1.0,
334,1325,61,0.0,
335,1828,36,1.0,
336,2158,587,1.0,
337,1433,754,1.0,
338,1433,754,1.0,
339,3141,45,0.0,
340,3141,729,1.0,
341,2093,753,1.0,
342,3075,371,1.0,
343,3141,753,1.0,
344,2093,84,1.0,
345,3075,40,1.0,
346,3075,491,1.0,
347,1931,360,1.0,
348,2093,753,1.0,
349,3075,103,1.0,
350,76,289,1.0,
351,1931,172,1.0,
352,3075,40,1.0,
353,3208,208,1.0,
354,3141,583,1.0,
355,292,52,1.0,
356,2646,133,1.0,
357,3208,759,1.0,
358,1828,715,0.0,
359,3208,105,1.0,
360,2093,31,1.0,
361,3208,203,1.0,
362,3208,217,1.0,
363,2093,753,1.0,
364,2207,225,1.0,
